graphics_card,component,manufacturing_ADPe,manufacturing_ADPf,manufacturing_AP,manufacturing_CTUe,manufacturing_CTUh_c,manufacturing_CTUh_nc,manufacturing_Epf,manufacturing_Epm,manufacturing_Ept,manufacturing_GWP,manufacturing_GWPb,manufacturing_GWPf,manufacturing_GWPlu,manufacturing_IR,manufacturing_LU,manufacturing_ODP,manufacturing_PM,manufacturing_POCP,manufacturing_WU,manufacturing_MIPS,manufacturing_DEEE,manufacturing_TPE,transport_ADPe,transport_ADPf,transport_AP,transport_CTUe,transport_CTUh_c,transport_CTUh_nc,transport_Epf,transport_Epm,transport_Ept,transport_GWP,transport_GWPb,transport_GWPf,transport_GWPlu,transport_IR,transport_LU,transport_ODP,transport_PM,transport_POCP,transport_WU,transport_MIPS,transport_DEEE,transport_TPE,use_ADPe,use_ADPf,use_AP,use_CTUe,use_CTUh_c,use_CTUh_nc,use_Epf,use_Epm,use_Ept,use_GWP,use_GWPb,use_GWPf,use_GWPlu,use_IR,use_LU,use_ODP,use_PM,use_POCP,use_WU,use_MIPS,use_DEEE,use_TPE,end_of_life_ADPe,end_of_life_ADPf,end_of_life_AP,end_of_life_CTUe,end_of_life_CTUh_c,end_of_life_CTUh_nc,end_of_life_Epf,end_of_life_Epm,end_of_life_Ept,end_of_life_GWP,end_of_life_GWPb,end_of_life_GWPf,end_of_life_GWPlu,end_of_life_IR,end_of_life_LU,end_of_life_ODP,end_of_life_PM,end_of_life_POCP,end_of_life_WU,end_of_life_MIPS,end_of_life_DEEE,end_of_life_TPE
NVIDIA A100 PCIe 40GB,upstream_transport,0.0000000117,4.14,0.00198,0.2,5.31E-12,6.57E-10,0.000000111,0.000935,0.0103,0.297,0,0.297,0,0.000723,0,4.55E-10,0.0000000171,0.0026,0.00113,,0,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 PCIe 40GB,end_of_life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000686,20.8,0.0388,1010,0.0000000029,0.000000289,0.0000244,0.0271,0.015,1.47,0.0959,1.37,0,0.176,8.61,0.000000151,0.0000000974,0.00584,527,,1.23,23.4
NVIDIA A100 SXM4 40GB,casing,0.0000541,16.5,0.00765,67.3,0.00000000535,0.000000545,0.00000573,0.000806,0.0088,0.881,0.00307,0.878,0.0000256,0.0851,0.0714,0.000000187,0.0000000436,0.00291,0.467,,0,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 SXM4 40GB,heatsink,0.00508,64,0.328,350,0.0000349,0.00000461,0.00234,0.0054,0.0661,4.8,0.409,4.39,0.00000236,525,5.58,0.00000129,0.000002,0.0374,16.9,,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 SXM4 40GB,printed_wiring_board,0.00277,3.11,0.0319,20.8,0.00000285,0.000000572,0.00000208,0.0003,0.00427,0.0821,0.0313,0.0508,0,40.6,0,0.000000125,0.000000199,0.00231,2.49,,0,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 SXM4 40GB,graphics_processing_unit,0.00016,1120,0.475,1100,0.0000000802,0.000000484,0.000267,0.057,0.594,85.8,0.0505,85.8,0,1.88,0.341,0.0000374,0.00000263,0.187,28.5,,0,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 SXM4 40GB,video_ram,0.000000534,253,0.107,247,0.00000000181,0.000000105,0.0000602,0.0128,0.134,19.3,0.0119,19.3,0,0.162,0.0769,0.00000843,0.000000588,0.042,7.47,,0,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 SXM4 40GB,upstream_transport,0.0000000182,6.46,0.0031,0.312,8.28E-12,0.00000000103,0.000000174,0.00146,0.016,0.464,0,0.464,0,0.00113,0,7.1E-10,0.0000000267,0.00406,0.00176,,0,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA A100 SXM4 40GB,end_of_life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000172,30.8,0.0725,1850,0.00000000611,0.000000553,0.0000504,0.0515,0.0231,2.18,0.169,2.01,0,0.133,11.9,0.000000238,0.000000163,0.00968,1060,,1.56,35.6
NVIDIA GH200,casing,8.18E-04,6.42E+01,1.22E-01,2.99E+02,1.11E-05,1.50E-06,7.80E-04,3.61E-03,4.16E-02,4.17E+00,1.99E-01,3.97E+00,7.79E-07,1.68E+02,1.84E+00,7.49E-07,7.68E-07,1.88E-02,5.53E+00,,0.00E+00,5.11E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
